,class,red,green,blue,lst,vod,ndbal,msr_re,cl_re,ndvi_re,evi,ndvi,lon,lat
98,0,93.0,82.0,73.0,28449.0,343.0,0.9188088,0.2351462,0.6148788,0.23514618,2.9916956,0.23672834,29.718935458593144,-2.102648700090958
99,0,120.0,106.0,93.0,28449.0,343.0,1.0436693,0.18967488,0.46814513,0.18967488,5.4162636,0.20634335,29.718915461882098,-2.1025980730115363
100,0,88.0,79.0,71.0,28446.0,339.0,0.92699355,0.21406378,0.5447358,0.21406378,7.25,0.28603566,29.718872833342598,-2.103652874619862
101,0,98.0,87.0,76.0,28446.0,339.0,0.92699355,0.21406378,0.5447358,0.21406378,9.405048,0.27674624,29.718886114592262,-2.1036173758146894
102,0,95.0,85.0,75.0,28446.0,339.0,0.9535135,0.20325203,0.5102041,0.20325203,7.25,0.28603566,29.718835634434676,-2.103635681059889
103,0,90.0,79.0,73.0,28449.0,343.0,0.92699355,0.21406378,0.5447358,0.21406378,9.226595,0.24682395,29.718847877908054,-2.103551284147023
104,0,110.0,95.0,81.0,28446.0,339.0,0.9325658,0.21216147,0.53859127,0.21216148,3.9432003,0.2523593,29.718213815172856,-2.104535067122067
105,0,108.0,93.0,80.0,28446.0,339.0,0.9325658,0.21216147,0.53859127,0.21216148,3.9432003,0.2523593,29.71821698312156,-2.1045613745128606
106,0,103.0,85.0,76.0,28446.0,339.0,0.9325658,0.21216147,0.53859127,0.21216148,3.9432003,0.2523593,29.718192034565604,-2.104581447817365
107,0,127.0,111.0,99.0,28446.0,339.0,0.9325658,0.21216147,0.53859127,0.21216148,3.9432003,0.2523593,29.71819585468101,-2.1045331348923493
108,0,95.0,83.0,74.0,28446.0,339.0,1.020769,0.18786463,0.46264362,0.18786465,17.781351,0.20860052,29.71870834010721,-2.105016848651313
109,0,91.0,83.0,75.0,28446.0,339.0,1.020769,0.18786463,0.46264362,0.18786465,7.1595526,0.25201216,29.718722139162956,-2.1050505052122
110,0,103.0,90.0,81.0,28446.0,339.0,1.0179867,0.18027735,0.43984962,0.18027735,17.781351,0.20860052,29.71874172712719,-2.1049642590794466
111,0,101.0,84.0,76.0,28446.0,339.0,1.0179867,0.18027735,0.43984962,0.18027735,81.01266,0.24078254,29.718699712368593,-2.1049402031997766
112,0,101.0,87.0,80.0,28446.0,339.0,1.0179867,0.18027735,0.43984962,0.18027735,-12.759674,0.24045289,29.718665777545596,-2.1049648948077198
113,0,106.0,95.0,86.0,28446.0,339.0,1.020769,0.18786463,0.46264362,0.18786465,-12.759674,0.24045289,29.71866134230425,-2.1050003419614742
114,0,103.0,93.0,84.0,28446.0,339.0,1.020769,0.18786463,0.46264362,0.18786465,4.1842475,0.21715328,29.718687928042392,-2.105059865189691
115,0,105.0,95.0,87.0,28446.0,339.0,1.020769,0.18786463,0.46264362,0.18786465,7.1595526,0.25201216,29.718748174484652,-2.1050806213041886
116,0,115.0,99.0,84.0,28446.0,339.0,0.8855375,0.23692603,0.6209779,0.23692602,2.7994318,0.23970103,29.718874975471078,-2.104888779860778
117,0,113.0,98.0,81.0,28446.0,339.0,0.8868869,0.23734325,0.6224117,0.23734324,3.575786,0.25909555,29.71886817278419,-2.104813045758237
118,0,112.0,92.0,81.0,28446.0,339.0,0.8477366,0.24835448,0.6608287,0.24835446,6.306306,0.31068623,29.71879023518316,-2.104385552362194
119,0,117.0,98.0,87.0,28446.0,339.0,0.9931731,0.20104954,0.5032841,0.20104952,4.410289,0.24640729,29.718787864120376,-2.1052168471799546
120,0,118.0,98.0,83.0,28446.0,339.0,0.9931731,0.20104954,0.5032841,0.20104952,5.2777777,0.26462397,29.71878125426743,-2.1052523342957126
121,0,121.0,103.0,89.0,28446.0,339.0,0.95092696,0.1990847,0.4971429,0.19908467,22.452831,0.2616343,29.718521052016197,-2.105240326249926
